Adam Tindale
Andrew Schloss
Andy Hunt
Antonio Camurri
Atau Tanaka
Axel Mulder
Bert Bongers
Bill Buxton
Bill Verplank
Bruce Pennycook
Butch Rovan
Charles Nichols
Curtis Bahn
D'Arcy Philip Gray
Dan Trueman
Daniel Arfib
Daniel Levitin
David Wessel
Eileen Tencate
Emmanuel Flety
Fernando Iazzetta
Francois Thibault
Garth Paine
Geoff Martin
Gideon D'Arcangelo
Ichiro Fujinaga
Insook Choi
Ivan Poupyrev
Jeremy Cooperstock
Joe Paradiso
Joel Chadabe
Johannes Birringer
Jonatas Manzolli
Kia Ng
Laetitia Sonami
Marc Battier
Marcelo M. Wanderley
Marcelo M. Wanderley
Michael Alcorn
Michael J. Lyons
Mikael Fernström
Miller Puckette
Neil Middleton
Nicola Orio
Perry Cook
Peter Castine
Peter Driessen
Philippe Depalle
Philippe Zaborowski
Richard Boulanger
Robert Ferguson
Sean Ferguson
Sergi Jordà
Sidney Fels
Sile O'Modhrain
Stuart Favilla
Suguru Goto
Teresa Marrin Nakra
Tina Blaine
Todd Winkler
Tomie Hahn
Vincent Hayward
Wes Hatch
