Andrew Schloss
Andy Hunt
Antonio Camurri
Atau Tanaka
Axel Mulder
Bert Bongers
Bill Verplank
Christa Sommerer
Curtis Bahn
Daniel Arfib
David Wessel
Gideon D'Arcangelo
Haruhiro Katayose
Hideyuki Sawada
Ivan Poupyrev
Joe Paradiso
Joel Chadabe
Jonatas Manzolli
Kazushi Nishimoto
Kenji Mase
Kia Ng
Laetitia Sonami
Laurent Mignonneau
Marcelo Wanderley
Michael Lyons
Naoki Saiwaki
Nicola Orio
Perry Cook
Richard Boulanger
Roel Vertegaal
Rumi Hiraga
Sergi Jorda
Sid Fels
Sile O'Modhran
Suguru Goto
Takayuki Rai
Tereas Marrin Nakra
Tine Blaine
Tomie Hahn
Yoichi Nagashima
Yutaka Sakane
