Adam Neal
Adnan Marquez-Borbon
Ajay Kapur
Alain Crevoisier
Alain Renaud
Alan Blackwell
Alberto de Campo
Alejandro Van Zandt-­Escobar
Alessandro Altavilla
Alex McLean
Alexander Refsum Jensenius
Alexis Clay
Ali Allaoui
Andres Cabrera
Andrew Bluff
Andrew Cavan Fyans
Andrew Johnston
Andrew McPherson
Andrew Schloss
Anja Volk
Anna Weisling
Anna Xambó
Antonio Camurri
Arne Eigenfeldt
Aron Glennon
Atau Tanaka
Baptiste Caramiaux
Benjamin Knapp
Bill Hsu
Bill Verplank
Bongjun Kim
Bridget Johnson
Bruno Ruviaro
Bruno Zamborlin
Cameron Britt
Carl Faia
Carles F. Julià
Carolina Brum Medeiros
Cathy Lane
Chad McKinney
Charlotte Magnusson
Ching-Hua Chuan
Chris Kiefer
Christophe d'Alessandro
Christophe Rhodes
Christopher Burns
Christos Michalakos
Cort Lippe
Cyrille Henry
Da Stewart
Dan Overholt
Dan Stowell
Daniel Hug
Daniel Jones
Darsha Hewitt
Dave Meckin
David Gerhard
David Ogborn
Davide Andrea Mauro
Davide Rocchesso
Diana Salazar
Diana Siwiak
Diemo Schwarz
Dimitri Diakopoulos
Doug Van Nort
Edgar Berdahl
Eldad Tsabary
Elena Jessop
Emilios Cambouropoulos
Eric Boyer
Esteban Maestre
Evan Raskob
Fabien Gouyon
Fanis Tsadnilias
Federico Avanzini
Federico Fontana
Frédéric Bevilacqua
Gascia Ouzounian
Gaëtan Parseihian
Georg Essl
George Tzanetakis
Gerard Jounghyun Kim
Gershon Dublon
Graham Wakefield
Gualtiero Volpe
Hans Leeuw
Haruhiro Katayose
Heather Frasch
Hiroko Terasawa
Hongchan Choi
Iannis Zannos
Inkwon Lee
Iohannes Zmoelnig
Irini Papadimitriou
Ivica Bukvic
Jan Schacher
Jascha Narveson
Jason Freeman
Jason Geistweidt
Javier Jaimovich
Jean-Baptiste Thiebaut
Jeff Snyder
Jeffrey Trevino
Jeong-seob Lee
Jesse Allison
Ji Won Yoon
Jim Murphy
Jim Tørresen
Jingyin He
Joanne Armitage
Joanne Cannon
Joe Paradiso
John Bowers
John Robert Ferguson
Jonas Braasch
Jonathan Forsyth
Jose Echeveste
Joseph Malloch
Jules Françoise
Juraj Kojs
Jérémie Garcia
Kameron Christopher
Kevin Patton
Kia Ng
Koray Tahiroğlu
Kristian Nymoen
Kyogu Lee
Laurel Pardue
Lauren Hayes
Leslie Garcia
Lionel Feugère
Lonce Wyse
Lorah Pierre
Louis Bigo
Louise Harris
Luke Dahl
Lyn Goeringer
Mara Helmuth
Marco Donnarumma
Marco Gillies
Margaret Schedel
Mari Kimura
Marije Baalman
Mariska de Groot
Mark Zadel
Marlon Schumacher
Martin Kaltenbrunner
Martin Parker
Mats Küssner
Matthew Yee-King
Matthias Demoucron
Matthias Schneiderbanger
Michael Casey
Michael Gurevich
Michael J. Lyons
Michael Musick
Michael F. Zbyszynski
Michel Bernays
Mick Grierson
Miguel Ortiz
Miha Ciglar
Miller Puckette
Miriam Akkermann
Mo H. Zareei
Nan-Wei Gong
Nicholas Bryan
Nicholas Gillian
Nick Bryan-Kinns
Nicola Montecchio
Nicolas Bouillot
Nicolas d'Alessandro
Nicolas Farrugia
Nicolas Rasamimanana
Nils Peters
Norbert Schnell
Nuno Correia
Oliver Bown
Oriol Nieto
Owen Vallis
Ozan Sarier
Palle Dahlstedt
Parag Mital
Patricia Alessandrini
Patrick Borgeat
Paul Doornbusch
Peter Bennett
Peter Edwards
Philippe Esling
Philippe Pasquier
Pierre Alexandre Tremblay
Rafael Ramirez
Rebecca Fiebrink
Reid Oda
Renick Bell
Rob Hamilton
Ross Bencina
Sam Ferguson
Sarah Angliss
Sarah Fdili Alaoui
Scott Mc Laughlin
Sebastian Lexer
Sebastian Mealla
Sergi Jordà
Seunghun Kim
Shawn Trail
Shelly Knotts
Sidney Fels
Simon Lui
Sinan Bökesoy
Stefania Serafin
Stefano Baldan
Stefano Delle Monache
Stephen David Beck
Steven Gelineck
Stéphane Huot
Susanna Garcia
Tamara Smyth
Teresa Dillon
Thomas Gardner
Thomas Mitchell
Thomas Svedström
Thor Magnusson
Tifanie Bouchara
Tim Murray­‐Browne
Tom Erbe
Tomás Henriques
Tomoko Yonezawa
Valtteri Wikström
Vanessa Yaremchuk
Victor Zappi
Will Gallia
Woon Seung Yeo
Xiao Xiao
Xin Wei Sha
Yaxu Paxo
Yoonchang Han
Emilien Ghomi
